,ID,title,abstract,authors,date,category,doi,version,author_corresponding,author_corresponding_institution,link_page,link_pdf,license,published,include
37,35847,Identification of 12 genetic loci associated with human healthspan,"The mounting challenge of preserving the quality of life in an aging population directs the focus of longevity science to the regulatory pathways controlling healthspan. To understand the nature of the relationship between the healthspan and lifespan and uncover the genetic architecture of the two phenotypes, we studied the incidence of major age-related diseases in the UK Biobank (UKB) cohort. We observed that the incidence rates of major chronic diseases increase exponentially. The risk of disease acquisition doubled approximately every eight years, i.e., at a rate compatible with the doubling time of the Gompertz mortality law. Assuming that aging is the single underlying factor behind the morbidity rates dynamics, we built a proportional hazards model to predict the risks of the diseases and therefore the age corresponding to the end of healthspan of an individual depending on their age, gender, and the genetic background. We suggested a computationally efficient procedure for the determination of the effect size and statistical significance of individual gene variants associations with healthspan in a form suitable for a Genome-Wide Association Studies (GWAS). Using the UKB sub-population of 300,447 genetically Caucasian, British individuals as a discovery cohort, we identified 12 loci associated with healthspan and reaching the whole-genome level of significance. We observed strong (|{rho}g| > 0.3) genetic correlations between healthspan and the incidence of specific age-related disease present in our healthspan definition (with the notable exception of dementia). Other examples included all-cause mortality (as derived from parental survival, with{rho} g = -0.76), life-history traits (metrics of obesity, age at first birth), levels of different metabolites (lipids, amino acids, glycemic traits), and psychological traits (smoking behaviour, cognitive performance, depressive symptoms, insomnia). We conclude by noting that the healthspan phenotype, suggested and characterized here, offers a promising new way to investigate human longevity by exploiting the data from genetic and clinical data on living individuals.","Zenin, A.; Tsepilov, Y.; Sharapov, S.; Getmantsev, E.; Menshikov, L.; Fedichev, P.; Aulchenko, Y.",16/04/2018,Epidemiology,10.1101/300889,1,Peter Fedichev,Gero LLC,https://www.biorxiv.org/content/10.1101/300889v1?versioned=TRUE,https://www.biorxiv.org/content/10.1101/300889v1.full.pdf,cc_no,10.1038/s42003-019-0290-0,
38,36687,AAV-mediated progranulin delivery to a mouse model of progranulin deficiency causes T cell-mediated hippocampal degeneration,"Adeno-associated virus (AAV)-mediated gene replacement is emerging as a safe and effective means of correcting single-gene mutations, and use of AAV vectors for treatment of diseases of the CNS is increasing. AAV-mediated progranulin gene (GRN) delivery has been proposed as a treatment for GRN-deficient frontotemporal dementia (FTD) and neuronal ceroid lipofuscinosis (NCL), and two recent studies using focal intraparenchymal AAV-Grn delivery to brain have shown moderate success in histopathologic and behavioral rescue in mouse FTD models. Here, we used AAV9 to deliver GRN to the lateral ventricle to achieve widespread expression in the Grn null mouse brain. We found that despite a global increase in progranulin throughout many brain regions, overexpression of GRN resulted in dramatic and selective hippocampal toxicity and degeneration affecting both neurons and glia. Histologically, hippocampal degeneration was preceded by T cell infiltration and perivascular cuffing, suggesting an inflammatory component to the ensuing neuronal loss. GRN delivery with an ependymal-targeting AAV for selective secretion of progranulin into the cerebrospinal fluid (CSF) similarly resulted in T cell infiltration as well as ependymal hypertrophy. Interestingly, overexpression of GRN in wild-type animals also provoked T cell infiltration. These results call into question the safety of GRN overexpression in the CNS, with evidence for both a region-selective immune response and cellular proliferative response following GRN gene delivery. Our results highlight the importance of careful consideration of target gene biology and cellular response to overexpression in relevant animal models prior to progressing to the clinic.\n\nSignificance StatementGene therapies using adeno-associated viral (AAV) vectors show great promise for many human diseases, including diseases that affect the central nervous system (CNS). Frontotemporal dementia (FTD) and neuronal ceroid lipofuscinosis (NCL) are neurodegenerative diseases resulting from loss of one or both copies of the gene encoding progranulin (GRN), and gene replacement has been proposed for these currently untreatable disorders. Here, we used two different AAV vectors to induce widespread brain GRN expression in mice lacking the gene, as well as in wild-type mice. Unexpectedly, GRN overexpression resulted in T cell infiltration, followed by marked hippocampal neurodegeneration. Our results call into question the safety of GRN overexpression in the CNS, with wider implications for development of CNS gene therapies.","Amado, D. A.; Rieders, J. M.; Diatta, F.; Hernandez-Con, P.; Singer, A.; Zhang, J.; Lancaster, E.; Davidson, B. L.; Chen-Plotkin, A. S.",27/04/2018,Neuroscience,10.1101/308692,1,Alice S. Chen-Plotkin,University of Pennsylvania,https://www.biorxiv.org/content/10.1101/308692v1?versioned=TRUE,https://www.biorxiv.org/content/10.1101/308692v1.full.pdf,cc_no,10.1016/j.ymthe.2018.11.013,
39,38068,"Methylation-wide association analysis reveals AIM2, DGUOK, GNAI3, and ST14 genes as potential contributors to the Alzheimer’s disease pathogenesis","Introduction: Alzheimers disease (AD) is a progressive complex neurodegenerative disorder with devastating impact on cognitive abilities. It is among the top 10 leading causes of death in the United States with no curative medications. Exploring genetic and non-genetic contributors to AD development is, therefore, of great importance.\n\nMethods: We investigated the AD-associated epigenetic changes by combing results from publicly available genome-wide association analyses and a large-scale methylation quantitative trait loci study.\n\nResults: Probes mapped to 133 genes were associated with AD with < 2.50E-06. Of these, four genes (i.e., GNAI3, AIM2, DGUOK and ST14) provided stronger evidence of possible role in AD pathogenesis as they were also significantly associated with AD in previous expression quantitative trait loci analyses and/or mouse model studies.\n\nDiscussion: Although the identified associations do not prove any definitive causal relationships with AD, they provide a list of prioritized genes for follow-up functional studies.","Nazarian, A.; Yashin, A. I.; Kulminski, A. M.",15/05/2018,Neuroscience,10.1101/322503,1,Alireza Nazarian,Duke University,https://www.biorxiv.org/content/10.1101/322503v1?versioned=TRUE,https://www.biorxiv.org/content/10.1101/322503v1.full.pdf,cc_by_nc_nd,NA,
40,38788,Improved prediction of chronological age from DNA methylation limits it as a biomarker of ageing,"DNA methylation is associated with age. The deviation of age predicted from DNA methylation from actual age has been proposed as a biomarker for ageing. However, a better prediction of chronological age implies less opportunity for biological age. Here we used 13,661 samples (from blood and saliva) in the age range of 2 to 104 years from 14 cohorts measured on Illumina HumanMethylation450/EPIC arrays to perform prediction analyses. We show that increasing the sample size achieves a smaller prediction error and higher correlations in test datasets. We demonstrate that smaller prediction errors provide a limit to how much variation in biological ageing can be captured by methylation and provide evidence that age predictors from small samples are prone to confounding by cell composition. Our predictor shows a similar or better performance in non-blood tissues including saliva, endometrium, breast, liver, adipose and muscle, compared with Horvaths across-tissue age predictor.","Zhang, Q.; Vallerga, C.; Walker, R.; Lin, T.; Henders, A.; Montgomery, G.; He, J.; Fan, D.; Fowdar, J.; Kennedy, M.; Pitcher, T.; Pearson, J.; Halliday, G.; Kwok, J.; Hickie, I.; Lewis, S.; Anderson, T.; Silburn, P.; Mellick, G.; Harris, S. E.; Redmond, P.; Murray, A.; Porteous, D.; Haley, C.; Evans, K.; Mcintosh, A.; Yang, J.; Gratten, J.; Marioni, R.; Wray, N.; Deary, I.; Mcrae, A.; Visscher, P.",28/10/2018,Bioinformatics,10.1101/327890,2,Peter Visscher,University of Queensland,https://www.biorxiv.org/content/10.1101/327890v2?versioned=TRUE,https://www.biorxiv.org/content/10.1101/327890v2.full.pdf,cc_by_nd,NA,
41,38709,Reciprocal Modulation Between Amyloid Precursor Protein and Synaptic Membrane Cholesterol Revealed By Live Cell Imaging,"The amyloid precursor protein (APP) has been extensively studied because of its association with Alzheimers disease (AD). However, APP distribution across different subcellular membrane compartments and its function in neurons remains unclear. We generated an APP fusion protein with a pH-sensitive green fluorescent protein at its ectodomain and a pH-insensitive blue fluorescent protein at its cytosolic domain and used it to measure APPs distribution, subcellular trafficking and cleavage in live neurons. This reporter, closely resembling endogenous APP, revealed only a limited correlation between synaptic activities and APP trafficking. However, the synaptic surface distribution of APP was inversely correlated to membrane cholesterol levels, a phenomenon that involves APPs cholesterol-binding site. Mutations within this site not only altered surface APP and cholesterol levels in a dominant negative manner, but also increased synaptic vulnerability to moderate membrane cholesterol reduction. Our results reveal reciprocal modulation of APP and membrane cholesterol levels at synaptic boutons.","Delbove, C. E.; Strothman, C. E.; Lazarenko, R. M.; Huang, H.; Sanders, C.; Zhang, Q.",24/09/2018,Neuroscience,10.1101/328419,2,Qi Zhang,Vanderbilt University,https://www.biorxiv.org/content/10.1101/328419v2?versioned=TRUE,https://www.biorxiv.org/content/10.1101/328419v2.full.pdf,cc_no,10.1016/j.nbd.2019.03.009,
42,38970,Phenome-wide association analysis of LDL-cholesterol lowering genetic variants in PCSK9,"BackgroundWe characterised the phenotypic consequence of genetic variation at the PCSK9 locus and compared findings with recent trials of pharmacological inhibitors of PCSK9.\n\nMethodsPublished and individual participant level data (300,000+ participants) were combined to construct a weighted PCSK9 gene-centric score (GS). Fourteen randomized placebo controlled PCSK9 inhibitor trials were included, providing data on 79,578 participants. Results were scaled to a one mmol/L lower LDL-C concentration\n\nResultsThe PCSK9 GS (comprising 4 SNPs) associations with plasma lipid and apolipoprotein levels were consistent in direction with treatment effects. The GS odds ratio (OR) for myocardial infarction (MI) was 0.53 (95%CI 0.42; 0.68), compared to a PCSK9 inhibitor effect of 0.90 (95%CI 0.86; 0.93). For ischemic stroke ORs were 0.84 (95%CI 0.57; 1.22) for the GS, compared to 0.85 (95%CI 0.78; 0.93) in the drug trials. ORs with type 2 diabetes mellitus (T2DM) were 1.29 (95% CI 1.11; 1.50) for the GS, as compared to 1.00 (95%CI 0.96; 1.04) for incident T2DM in PCSK9 inhibitor trials. No genetic associations were observed for cancer, heart failure, atrial fibrillation, chronic obstructive pulmonary disease, or Alzheimers disease - outcomes for which large-scale trial data were unavailable.\n\nConclusionsGenetic variation at the PCSK9 locus recapitulates the effects of therapeutic inhibition of PCSK9 on major blood lipid fractions and MI. Apparent discordance between genetic associations and trial outcome for T2DM might be explained lack by a of statistical precision, or differences in the nature and duration of genetic versus pharmacological perturbation of PCSK9.\n\nFundingThis research was funded by the British Heart Foundation (SP/13/6/30554, RG/10/12/28456, FS/18/23/33512), UCL Hospitals NIHR Biomedical Research Centre, by the Rosetrees and Stoneygate Trusts.\n\nCondensed abstractEvidence on the long-term efficacy and safety of therapeutic inhibition of PCSK9 is lacking. To explore potential long-term effects of PCSK9 inhibition, we characterised the phenotypic consequence of LDL-cholesterol lowering variants at the PCSK9 locus. A PCSK9 gene score comprising 4 SNPs recapitulated the effects of therapeutic inhibition of PCSK9 on major blood lipid fractions and risk of myocardial infarction, and was associated with an increased risk of type 2 diabetes. No associations with safety outcomes such as cancer, COPD, Alzheimers disease or atrial fibrillation were identified. Our findings suggest PCSK9 inhibition may be safe and effective during prolonged use.","Schmidt, A. F.; Holmes, M. V.; Preiss, D.; Swerdlow, D. I.; Denaxas, S.; 155 Additional Authors,  ; Hemingway, H.; Asselbergs, F.; Patel, R.; Keating, B. J.; Sattar, N.; Houlston, R.; Casas, J.; Hingorani, A. D.",25/05/2018,Genetics,10.1101/329052,1,Amand F Schmidt,UCl,https://www.biorxiv.org/content/10.1101/329052v1?versioned=TRUE,https://www.biorxiv.org/content/10.1101/329052v1.full.pdf,cc_by_nd,10.1186/s12872-019-1187-z,
43,39516,Identification of a novel tetrameric structure for human apolipoprotein-D,"Apolipoprotein-D is a 25 kDa glycosylated member of the lipocalin family that folds into an eight-stranded {beta}-barrel with a single adjacent -helix. Apolipoprotein-D specifically binds a range of small hydrophobic ligands such as progesterone and arachidonic acid and has an antioxidant function that is in part due to the reduction of peroxidised lipids by methionine-93. Therefore, apolipoprotein-D plays multiple roles throughout the body and is protective in Alzheimers disease, where apolipoprotein-D overexpression reduces the amyloid-{beta} burden in Alzheimers disease mouse models.\n\nOligomerisation is a common feature of lipocalins that can influence ligand binding. The native structure of apolipoprotein-D, however, has not been conclusively defined. Apolipoprotein-D is generally described as a monomeric protein, although it dimerises when reducing peroxidised lipids.\n\nHere, we investigated the native structure of apolipoprotein-D derived from plasma, breast cyst fluid (BCF) and cerebrospinal fluid. In plasma and cerebrospinal fluid, apolipoprotein-D was present in high-molecular weight complexes, potentially in association with lipoproteins. In contrast, apolipoprotein-D in BCF formed distinct oligomeric species. We assessed apolipoprotein-D oligomerisation using native apolipoprotein-D purified from BCF and a suite of complementary methods, including multi-angle laser light scattering, analytical ultracentrifugation and small-angle X-ray scattering. Our analyses showed that apolipoprotein-D predominantly forms a {bsim}95 to {bsim}100 kDa tetramer. Small-angle X-ray scattering analysis confirmed these findings and provided a structural model for apolipoprotein-D tetramer. These data indicate apolipoprotein-D rarely exists as a free monomer under physiological conditions and provide insights into novel native structures of apolipoprotein-D and into oligomerisation behaviour in the lipocalin family.","Kielkopf, C. S.; Low, J. K. K.; Mok, Y.-F.; Bhatia, S.; Palasovski, T.; Oakley, A. J.; Whitten, A. E.; Garner, B.; Brown, S. H. J.",31/05/2018,Biochemistry,10.1101/335232,1,Simon H.j. Brown,University of Wollongong,https://www.biorxiv.org/content/10.1101/335232v1?versioned=TRUE,https://www.biorxiv.org/content/10.1101/335232v1.full.pdf,cc_by_nc_nd,10.1016/j.jsb.2018.05.012,
44,40525,Microglial and Astrocyte priming in the APP/PS1 model of Alzheimer’s Disease: increased vulnerability to acute inflammation and cognitive deficits,"Alzheimers disease (AD) causes devastating cognitive decline and has no disease-modifying therapies. Neuroinflammation is a significant contributor to disease progression but its precise contribution remains unclear. An emerging literature indicates that secondary inflammatory insults including acute trauma and infection alter the trajectory of chronic neurodegenerative diseases and the roles of microglia and astrocytes require elucidation. The current study, using the APP/PS1 mouse model of AD, demonstrates that microglia are primed by {beta}-amyloid pathology to induce exaggerated IL-1{beta} responses to acute stimulation with LPS or IL-1{beta}. Despite disease-associated NLRP3 inflammasome activation, evidenced by ASC speck formation, APP/PS1 microglial cells show neither IL-1{beta} induction nor NF{kappa}B p65 nuclear localisation. Upon secondary stimulation with LPS or IL-1{beta}, NF{kappa}B-p65 nuclear localisation and exaggerated pro-IL-1 induction occur. Microglial priming was also unmasked by secondary stimulation with systemic LPS leading to significant cognitive impairment in APP/PS1 mice compared to WT LPS-treated mice. Astrocytes have also recently emerged as displaying significant phenotypic heterogeneity. Here, by-passing microglial priming, and acutely challenging mice with intra-hippocampal IL-1{beta} we demonstrate that astrocytes proximal to A{beta}-plaques are also primed to produce exaggerated CCL2, CXCL1 and CXCL10 responses. Many astrocytosis-associated genes in APP/PS1 mice share these exaggerated responses to IL-1{beta}, while others are equally induced in both strains. Collectively the data show that the amyloid-laden brain shows multiple vulnerabilities to secondary inflammatory challenge: both microglia and astrocytes are primed to produce exaggerated secondary inflammation and systemic LPS is sufficient to cause cognitive impairments relevant to delirium, selectively in animals with prior amyloid pathology.","Lopez-Rodriguez, A. B.; Hennessy, E.; Murray, C.; Lewis, A.; De Barra, N.; Fagan, S.; Rooney, M.; Nazmi, A.; Cunningham, C.",11/06/2018,Neuroscience,10.1101/344218,1,Colm Cunningham,Trinity College Dublin,https://www.biorxiv.org/content/10.1101/344218v1?versioned=TRUE,https://www.biorxiv.org/content/10.1101/344218v1.full.pdf,cc_by,NA,
45,41043,C. elegans genetic background modifies the core transcriptional response in an a-synuclein model of Parkinson’s disease,"Accumulation of protein aggregates is a major cause of Parkinsons disease (PD), a progressive neurodegenerative condition that is one of the most common causes of dementia. Transgenic Caenorhabditis elegans worms expressing the human synaptic protein -synuclein show inclusions of aggregated protein and replicate the defining pathological hallmarks of PD. It is however not known how PD progression and pathology differs among individual genetic backgrounds. Here, we compared gene expression patterns, and investigated the phenotypic consequences of transgenic -synuclein expression in five different C. elegans genetic backgrounds. Transcriptome analysis indicates that the effects of -synuclein expression on pathways associated with nutrient storage, lipid transportation and ion exchange depend on the genetic background. The gene expression changes we observe suggest that a range of phenotypes will be affected by -synuclein expression. We experimentally confirm this, showing that the transgenic lines generally show delayed development, reduced lifespan, and an increased rate of matricidal hatching. These phenotypic effects coincide with the core changes in gene expression, linking developmental arrest, mobility, metabolic and cellular repair mechanisms to -synuclein expression. Together, our results show both genotype-specific effects and core alterations in global gene expression and in phenotype in response to -synuclein. We conclude that the PD effects are substantially modified by the genetic background, illustrating that genetic background mechanisms should be elucidated to understand individual variation in PD.","Wang, Y. A.; Snoek, L. B.; Sterken, M. G.; Riksen, J. A.; Stastna, J. J.; Kammenga, J.; Harvey, S. C.",28/06/2018,Genomics,10.1101/348623,2,Simon C Harvey,Canterbury Christ Church University,https://www.biorxiv.org/content/10.1101/348623v2?versioned=TRUE,https://www.biorxiv.org/content/10.1101/348623v2.full.pdf,cc_by,10.1186/s12864-019-5597-1,
46,41204,Targeting integrin alpha5 receptor in pancreatic stellate cells to diminish tumor-promoting effects in pancreatic cancer,"Pancreatic stellate cells (PSCs) are the main precursors of cancer-associated fibroblasts (CAFs) in pancreatic ductal adenocarcinoma (PDAC), known to induce cancer aggressiveness. Integrin alpha5 (ITGA5), a fibronectin receptor, was found to be overexpressed by CAFs in stroma and linked to poor overall survival (log-rank p=0.022, n=137) of patients with PDAC. In vitro, knockdown of ITGA5 in human PSCs (hPSCs) inhibited their adhesion, migration, and proliferation and also inhibited TGF-{beta}-mediated differentiation. In vivo, co-injection of PANC-1 tumor cells and hPSCs (sh-ITGA5) developed tumors with reduced fibrosis and slower growth rate compared to those composed of PANC-1 and hPSC (sh-Ctrl). Furthermore, we developed a ITGA5-antagonizing peptidomimetic (AV3) which inhibited TGF{beta}-mediated hPSC differentiation by blocking ITGA5/FAK pathway. In vivo, treatment with AV3 intraperitoneally attenuated tumor fibrosis and thereby enhanced the efficacy of gemcitabine in patient-derived xenografts in mice. Altogether, this study reports the therapeutic importance of ITGA5 in PDAC and provides novel therapeutic peptidomimetic to enhance the effect of chemotherapy.","Kuninty, P.; Bansal, R.; De Geus, S.; Schnittert, J.; Van Baarlen, J.; Storm, G.; Bijlsma, M.; Van Laarhoven, H.; Kuppen, P.; Vahrmeijer, A.; Ostman, A.; Sier, C.; Prakash, J.",19/06/2018,Cancer Biology,10.1101/350678,1,Jai Prakash,University of Twente,https://www.biorxiv.org/content/10.1101/350678v1?versioned=TRUE,https://www.biorxiv.org/content/10.1101/350678v1.full.pdf,cc_no,NA,
47,41471,TGF-ßRII knock-down promotes tumor growth and chemoresistance to gemcitabine of pancreatic cancer cells via phosphorylation of STAT3,"Pancreatic adenocarcinoma (PDAC) is one of the most deadly cancers in the western countries because of a lack of early diagnostic markers and efficient therapeutics. At the time of diagnosis, more than 80% of patients have metastasis or locally advanced cancer and are therefore not eligible for surgical resection. Pancreatic cancer cell also harbour a high resistance to chemotherapeutic drugs such as gemcitabine that is one of the main palliative treatment for PDAC.\n\nTGF-{beta} possesses both tumor-suppressive and oncogenic activities in pancreatic cancer. TGF-{beta} signalling pathway plays complex role during carcinogenesis by initially inhibiting epithelial growth and later promoting the progression of advanced tumors and thus emerged as tumor suppressor pathway. TGF-{beta} binds to its receptor TGF-{beta}RII and activates different pathways: canonical pathway involving the Smad proteins and alternative pathways such as MAPKs. Smad4 is mutated in 50-80% of PDAC. Mutations of TGF-{beta}RII also occurs (5-10%). In order to decipher the role of TGF-{beta} in carcinogenesis and chemoresistance, we decided to characterize the knocking down of TGF-{beta}RII that is the first actor of TGF-{beta} signalling. We developed pancreatic cancer cell lines stably invalidated for TGF-{beta}RII and studied the impact on biological properties of pancreatic cancer cells both in vitro and in vivo. We show that TGF-{beta}RII silencing alters tumor growth and migration as well as resistance to. TGF-{beta}RII silencing also leads to S727 STAT3 and S-63 c-Jun phosphorylation, decrease of MRP3 and increase of MRP4 ABC transporter expression and induction of a partial EMT phenotype.\n\nIn the future, the better understanding TGF-{beta} signaling pathways and underlying cellular mechanisms in chemoresistance to gemcitabine may bring new therapeutic tools to clinicians.","Drubay, V.; Skrypek, N.; Cordiez, L.; Vasseur, R.; Schulz, C.; Boukrout, N.; Duchene, B.; Coppin, L.; Van Seuningen, I.; Jonckheere, N.",21/06/2018,Cancer Biology,10.1101/352963,1,Nicolas Jonckheere,Inserm UMR-S1172/JPARC,https://www.biorxiv.org/content/10.1101/352963v1?versioned=TRUE,https://www.biorxiv.org/content/10.1101/352963v1.full.pdf,cc_no,10.3390/cancers10080254,
48,41554,L-norvaline reverses cognitive decline and synaptic loss in a murine model of Alzheimer’s disease,"The urea cycle plays a role in the pathogenesis of Alzheimers disease (AD). Arginase-I accumulation at sites of amyloid-beta deposition is associated with L-arginine deprivation and neurodegeneration. Moreover, a positive interaction between the arginase-II and mTOR-S6K1 pathways promote inflammation and oxidative stress. In this study, we treated 3xTg-AD mice exhibiting increased ribosomal protein S6 kinase beta-1 (S6K1) activity and wild-type (WT) mice with L-norvaline. The substance combines unique properties of arginase and S6K1 inhibition. The treated 3xTg-AD mice demonstrated significantly improved acquisition of spatial memory, associated with a substantial reduction of microgliosis and shift from activated to resting phenotype. Moreover, an increase of dendritic spines density and escalation of the expression rates of neuroplasticity related proteins were followed by a decline in the levels of amyloid-beta toxic oligomeric and fibrillar species in the hippocampus. Our findings associate local amyloid-beta-driven and immune-mediated response with altered L-arginine metabolism and suggest that arginase and S6K1 inhibition by L-norvaline can delay progression of AD.","Polis, B.; Srikanth, K. D.; Elliott, E.; Gil-Henn, H.; Samson, A. O.",22/06/2018,Neuroscience,10.1101/354290,1,Baruh Polis,Bar Ilan University,https://www.biorxiv.org/content/10.1101/354290v1?versioned=TRUE,https://www.biorxiv.org/content/10.1101/354290v1.full.pdf,cc_by_nc_nd,10.1007/s13311-018-0669-5,
49,42625,Genomic underpinnings of lifespan allow prediction and reveal basis in modern risks,"We use a multi-stage genome-wide association of 1 million parental lifespans of genotyped subjects and data on mortality risk factors to validate previously unreplicated findings near CDKN2B-AS1, ATXN2/BRAP, FURIN/FES, ZW10, PSORS1C3, and 13q21.31, and identify and replicate novel findings near GADD45G, KCNK3, LDLR, POM121C, ZC3HC1, and ABO. We also validate previous findings near 5q33.3/EBF1 and FOXO3, whilst finding contradictory evidence at other loci. Gene set and tissue-specific analyses show that expression in foetal brain cells and adult dorsolateral prefrontal cortex is enriched for lifespan variation, as are gene pathways involving lipid proteins and homeostasis, vesicle-mediated transport, and synaptic function. Individual genetic variants that increase dementia, cardiovascular disease, and lung cancer -but not other cancers-explain the most variance, possibly reflecting modern susceptibilities, whilst cancer may act through many rare variants, or the environment. Resultant polygenic scores predict a mean lifespan difference of around five years of life across the deciles.","Timmers, P. R.; Mounier, N.; Lall, K.; Fischer, K.; Ning, Z.; Feng, X.; Bretherick, A.; Clark, D. W.; Eqtlgen Consortium,  ; Shen, X.; Esko, T.; Kutalik, Z.; Wilson, J. F.; Joshi, P.",06/07/2018,Genomics,10.1101/363036,1,Peter Joshi,University of Edinburgh,https://www.biorxiv.org/content/10.1101/363036v1?versioned=TRUE,https://www.biorxiv.org/content/10.1101/363036v1.full.pdf,cc_no,NA,
50,43627,Increased H-Bond Stability Relates to Altered e-Cleavage Efficiency and Aß Levels in the I45T Familial Alzheimer’s Disease Mutant of APP,"Cleavage of the amyloid precursor proteins (APP) transmembrane domain (TMD) by {gamma}-secretase is a crucial step in the aetiology of Alzheimers Disease (AD). Mutations in the APP TMD alter cleavage and lead to familial forms of AD (FAD). The majority of FAD mutations shift the preference of initial cleavage from {varepsilon}49 to {varepsilon}48, thus raising the AD-related A{beta}42/A{beta}40 ratio. The I45T mutation is among the few FAD mutations that do not alter {varepsilon}-site preference, while it dramatically reduces the efficiency of {varepsilon}-cleavage. Here, we investigate the impact of the I45T mutation on the backbone dynamics of the substrate TMD. Amide exchange experiments and molecular dynamics simulations in solvent and a lipid bilayer reveal an increased stability of amide hydrogen bonds at the {zeta}-and {gamma}-cleavage sites. Stiffening of the H-bond network is caused by an additional H-bond between the T45 side chain and the TMD backbone, which alters dynamics within the cleavage domain. In particular, the increased H-bond stability inhibits an upward movement of the {varepsilon}-sites in the I45T mutant. Thus, an altered presentation of {varepsilon}-sites to the active site of {gamma}-secretase as a consequence of restricted local flexibility provides a rationale for reduced {varepsilon}-cleavage efficiency of the I45T mutant.","Go¨tz, A.; Ho¨gel, P.; Silber, M.; Chaitoglou, I.; Luy, B.; Muhle-Goll, C.; Scharnagl, C.; Langosch, D.",04/08/2018,Biophysics,10.1101/372698,3,Dieter Langosch,"Technical University of Munich, Lehrstuhl Chemie der Biopolymere & CIPSM",https://www.biorxiv.org/content/10.1101/372698v3?versioned=TRUE,https://www.biorxiv.org/content/10.1101/372698v3.full.pdf,cc_by_nd,10.1038/s41598-019-41766-1,
51,44877,Lipid associated polygenic enrichment in Alzheimer’s disease,"Cardiovascular (CV) and lifestyle associated risk factors (RFs) are increasingly recognized as important for Alzheimers disease (AD) pathogenesis. Beyond the [isin]4 allele of apolipoprotein E (APOE), comparatively little is known about whether CV associated genes also increase risk for AD (genetic pleiotropy). Using large genome-wide association studies (GWASs) (total n > 500,000 cases and controls) and validated tools to quantify genetic pleiotropy, we systematically identified single nucleotide polymorphisms (SNPs) jointly associated with AD and one or more CV RFs, namely body mass index (BMI), type 2 diabetes (T2D), coronary artery disease (CAD), waist hip ratio (WHR), total cholesterol (TC), low-density (LDL) and high-density lipoprotein (HDL). In fold enrichment plots, we observed robust genetic enrichment in AD as a function of plasma lipids (TC, LDL, and HDL); we found minimal AD genetic enrichment conditional on BMI, T2D, CAD, and WHR. Beyond APOE, at conjunction FDR < 0.05 we identified 57 SNPs on 19 different chromosomes that were jointly associated with AD and CV outcomes including APOA4, ABCA1, ABCG5, LIPG, and MTCH2/SPI1. We found that common genetic variants influencing AD are associated with multiple CV RFs, at times with a different directionality of effect. Expression of these AD/CV pleiotropic genes was enriched for lipid metabolism processes, over-represented within astrocytes and vascular structures, highly co-expressed, and differentially altered within AD brains. Beyond APOE, we show that the polygenic component of AD is enriched for lipid associated RFs. Rather than a single causal link between genetic loci, RF and the outcome, we found that common genetic variants influencing AD are associated with multiple CV RFs. Our collective findings suggest that a network of genes involved in lipid biology also influence Alzheimers risk.","Broce, I.; Tan, C. H.; Fan, C. C.; Witoelar, A.; Wen, N.; Jansen, I.; Hess, C.; Dillon, W.; Glastonbury, C.; Glymour, M.; Yokoyama, J.; Elahi, F.; Rabinovici, G.; Miller, B.; Mormino, E.; Sperling, R.; Bennett, D.; Mcevoy, L.; Brewer, J.; Feldman, H.; Posthuma, D.; Hyman, B.; Schellenberg, G.; Yaffe, K.; Andreassen, O.; Dale, A.; Sugrue, L.; Karch, C.; Desikan, R.",03/08/2018,Genetics,10.1101/383844,1,Rahul Desikan,UCSF,https://www.biorxiv.org/content/10.1101/383844v1?versioned=TRUE,https://www.biorxiv.org/content/10.1101/383844v1.full.pdf,cc_by_nd,NA,
52,46157,Evolutionary history of Alzheimer Disease causing protein family Presenilins with pathological implications.,"Presenilin proteins are type II transmembrane proteins. They make the catalytic component of Gamma secretase, a multiportion transmembrane protease. Amyloid protein, Notch and beta catenin are among more than 90 substrates of Presenilins. Mutations in Presenilins lead to defects in proteolytic cleavage of its substrate resulting in some of the most devastating pathological conditions including Alzheimer disease (AD), developmental disorders and cancer. In addition to catalytic roles, Presenilin protein is also shown to be involved in many non-catalytic roles i.e. calcium homeostasis, regulation of autophagy and protein trafficking etc. These proteolytic proteins are highly conserved, present in almost all the major eukaryotic groups. Studies on wide variety of organisms ranging from human to unicellular dictyostelium have shown the important catalytic and non-catalytic roles of Presenilins. In the current research project, we aimed to elucidate the phylogenetic history of Presenilins. We showed that Presenilins are the most ancient of the Gamma secretase proteins and might have their origin in last common eukaryotic ancestor (LCEA). We also demonstrated that these proteins have been evolving under strong purifying selection. Through evolutionary trace analysis, we showed that Presenilin protein sites which undergoes mutations in Familial Alzheimer Disease are highly conserved in metazoans. Finally, we discussed the evolutionary, physiological and pathological implication of our findings and proposed that evolutionary profile of Presenilins supports the loss of function hypothesis of AD pathogenesis.","Khan, A. A.; Parveen, B.; Raja, H. A.",20/08/2018,Evolutionary Biology,10.1101/394270,2,Ammad Khan,"Barrett Hodgson University, Karachi",https://www.biorxiv.org/content/10.1101/394270v2?versioned=TRUE,https://www.biorxiv.org/content/10.1101/394270v2.full.pdf,cc_by_nc,10.1007/s00239-020-09966-w,
